arena,retrieval_source,agreement,mean_error_cm,median_error_cm,mean_cosine,graph_nodes,graph_edges,n
lwall,pc,0.9333333333333331,3.8162973163602496,3.3673450747484903,0.93417928529913,139.88888888888889,197.88888888888889,675
lwall,placebasis,0.9733333333333333,3.6049492514363215,3.35633350532498,0.9885609281291943,139.66666666666666,197.66666666666666,675
lwall,sc,0.8444444444444444,4.408422022824574,3.5315087166636356,0.943172910143724,139.77777777777777,197.77777777777777,675
open,pc,0.9644444444444444,3.6363146903528576,3.4000475076799517,0.9373311855368437,140.66666666666666,205.33333333333334,675
open,placebasis,0.9822222222222222,3.526243139597347,3.376652026058634,0.9879366577291382,140.66666666666666,205.33333333333334,675
open,sc,0.8622222222222222,4.446409772793565,3.5665557599498436,0.9477071330190253,140.66666666666666,205.33333333333334,675
scorridor,pc,0.911111111111111,3.8962917734038607,3.289810575265879,0.9352964923420155,120.77777777777777,174.11111111111111,675
scorridor,placebasis,0.9644444444444444,3.543227447291822,3.2572588099678166,0.9892426247986538,120.66666666666667,174.0,675
scorridor,sc,0.8311111111111111,4.4040539140421835,3.6108280016074272,0.946230215955344,120.88888888888889,174.11111111111111,675
uwall,pc,0.9244444444444443,3.8028519957598053,3.354587456375812,0.9331284958189181,137.33333333333334,194.0,675
uwall,placebasis,0.9777777777777779,3.5809896256138654,3.3453133169590576,0.9878718711509857,137.66666666666666,194.66666666666666,675
uwall,sc,0.8503703703703703,4.3368959470156545,3.5332089658769754,0.9464211613022412,137.55555555555554,194.11111111111111,675
